TEAM,LEAGUE,W,L,ERA,G,GS,CG,SHO,SV,SVO,IP,H,R,ER,HR,HB,BB,SO,WHIP,AVG
"1
Tampa Bay Rays",AL,43,34,3.36,162,0,0,0,44,80,682.2,583,300,255,83,37,212,657,1.16,0.228
"2
Chicago Cubs",NL,37,36,4.12,162,0,0,0,44,75,657,587,338,301,98,41,276,716,1.31,0.237
"3
Minnesota Twins",AL,34,35,3.84,162,0,0,0,28,55,654.1,595,309,279,78,30,243,675,1.28,0.24
"4
Pittsburgh Pirates",NL,41,38,4.72,162,0,0,0,33,62,653.2,639,386,343,70,47,296,595,1.43,0.253
"5
San Francisco Giants",NL,34,34,4.08,161,0,0,0,39,61,650,653,334,295,65,21,241,582,1.38,0.259
"6
Texas Rangers",AL,31,41,3.72,161,0,0,0,37,67,641.2,545,310,265,66,26,264,620,1.26,0.228
"7
Washington Nationals",NL,25,21,3.84,160,0,0,0,28,45,638,583,313,272,83,36,235,585,1.28,0.241
"8
Baltimore Orioles",AL,42,29,3.49,160,0,0,0,46,59,631,575,279,245,62,31,210,594,1.24,0.241
"9
Boston Red Sox",AL,33,33,4.59,157,0,0,0,39,67,623.1,577,356,318,73,46,268,627,1.36,0.244
"10
Detroit Tigers",AL,31,33,3.43,162,0,0,0,38,56,617,538,276,235,46,31,243,601,1.27,0.234
"11
Cincinnati Reds",NL,29,27,4.72,161,0,0,0,31,53,613.2,577,348,322,82,42,296,633,1.42,0.248
"11
Toronto Blue Jays",AL,37,27,3.77,162,0,0,0,46,73,613.2,535,283,257,79,37,213,608,1.22,0.234
"13
Milwaukee Brewers",NL,36,32,3.94,162,0,0,0,52,83,596.1,511,293,261,83,34,221,641,1.23,0.23
"14
Los Angeles Angels",AL,21,30,3.95,160,0,0,0,38,66,592.1,501,305,260,81,28,226,553,1.23,0.227
"15
Kansas City Royals",AL,33,27,4.66,162,0,0,0,33,54,583.1,578,333,302,58,38,287,552,1.48,0.258
"16
Chicago White Sox",AL,29,22,4,160,0,0,0,48,71,582.1,527,297,259,58,22,231,619,1.3,0.24
"17
Los Angeles Dodgers",NL,38,24,2.87,161,0,0,0,43,61,581,434,208,185,53,37,178,629,1.05,0.205
"18
Oakland Athletics",AL,20,28,4.31,162,0,0,0,34,59,576,546,301,276,66,38,236,541,1.36,0.248
"19
St. Louis Cardinals",NL,41,16,3.61,159,0,0,0,37,54,571.1,498,244,229,59,21,215,507,1.25,0.234
"20
Colorado Rockies",NL,29,28,4.85,161,0,0,0,43,64,565.2,542,338,305,62,23,245,532,1.39,0.25
"21
New York Mets",NL,31,19,3.55,162,0,0,0,41,56,560.2,487,239,221,68,24,196,646,1.22,0.232
"22
Arizona Diamondbacks",NL,30,41,4.58,162,0,0,0,33,60,558,555,321,284,71,26,223,478,1.39,0.258
"23
Atlanta Braves",NL,31,21,3.03,161,0,0,0,55,83,557.2,441,226,188,53,24,196,630,1.14,0.214
"24
New York Yankees",AL,45,30,2.97,161,0,0,0,47,68,557.1,434,209,184,36,35,228,562,1.19,0.213
"25
Miami Marlins",NL,25,32,4.15,156,0,0,0,41,72,555.2,548,285,256,66,28,238,582,1.41,0.257
"26
Cleveland Guardians",AL,43,19,3.05,161,0,0,0,51,69,549,419,217,186,53,24,192,592,1.11,0.209
"27
Seattle Mariners",AL,34,20,3.33,162,0,0,0,40,55,544,406,219,201,65,23,181,583,1.08,0.207
"28
San Diego Padres",NL,34,24,3.83,162,0,0,0,48,70,542.1,477,260,231,53,41,181,533,1.21,0.234
"29
Philadelphia Phillies",NL,28,28,4.27,159,0,0,0,42,60,531.2,492,279,252,49,29,248,576,1.39,0.245
"30
Houston Astros",AL,22,17,2.8,159,0,0,0,53,69,495.1,378,177,154,36,29,188,575,1.14,0.21
