TEAM,LEAGUE,W,L,ERA,G,GS,CG,SHO,SV,SVO,IP,H,R,ER,HR,HB,BB,SO,WHIP,AVG
"1
Seattle Mariners",AL,56,46,3.89,162,162,2,1,0,0,901.1,822,415,390,124,27,210,856,1.14,0.24
"2
Houston Astros",AL,61,50,4.17,162,162,2,2,0,0,900,847,452,417,130,40,312,852,1.29,0.248
"3
Philadelphia Phillies",NL,53,45,4.3,162,162,1,1,0,0,899,844,461,430,124,29,253,864,1.22,0.245
"4
Minnesota Twins",AL,49,45,3.82,162,162,2,2,0,0,895,816,392,380,123,33,223,970,1.16,0.24
"5
Toronto Blue Jays",AL,56,49,3.85,162,162,1,1,0,0,894.2,838,418,383,127,39,293,922,1.26,0.245
"6
Baltimore Orioles",AL,57,40,4.14,162,162,0,0,0,0,878.1,821,417,404,125,33,261,817,1.23,0.246
"7
Milwaukee Brewers",NL,54,45,3.94,162,162,1,1,0,0,877.1,751,409,384,134,28,273,846,1.17,0.229
"8
Texas Rangers",AL,59,38,3.96,162,162,3,1,0,0,872,813,400,384,113,34,289,794,1.26,0.248
"9
San Diego Padres",NL,60,50,3.69,162,162,0,0,0,0,863.2,769,372,354,109,32,315,870,1.26,0.237
"10
New York Mets",NL,49,51,4.2,162,162,1,0,0,0,858,837,428,400,116,30,346,826,1.38,0.254
"11
Cleveland Guardians",AL,39,52,4.09,162,162,1,0,0,0,857.1,820,408,390,106,31,302,723,1.31,0.25
"12
Atlanta Braves",NL,66,36,4.36,162,162,1,1,0,0,852,815,437,413,112,46,323,874,1.34,0.25
"13
Chicago Cubs",NL,56,48,4.26,162,162,1,1,0,0,851.1,847,456,403,115,31,241,736,1.28,0.256
"14
St. Louis Cardinals",NL,43,64,5.08,162,162,0,0,0,0,848.2,976,511,479,114,36,289,653,1.49,0.289
"15
Arizona Diamondbacks",NL,46,51,4.67,162,162,1,1,0,0,840.1,840,458,436,118,21,288,765,1.34,0.26
"16
Chicago White Sox",AL,37,63,4.88,162,162,2,0,0,0,840,810,483,455,135,51,371,873,1.41,0.251
"17
Los Angeles Angels",AL,42,52,4.47,162,162,1,1,0,0,830,779,453,412,121,47,346,849,1.36,0.246
"18
Washington Nationals",NL,37,62,5.02,162,162,0,0,0,0,829.1,900,491,463,151,33,345,702,1.5,0.277
"19
New York Yankees",AL,47,50,4.44,162,162,3,3,0,0,820.2,767,436,405,136,41,252,814,1.24,0.244
"20
Miami Marlins",NL,39,51,4.09,162,162,3,1,0,0,818,751,395,372,115,35,268,825,1.25,0.242
"21
Pittsburgh Pirates",NL,44,57,4.88,162,162,2,2,0,0,803.2,809,461,436,108,47,337,725,1.43,0.259
"22
Los Angeles Dodgers",NL,62,37,4.57,162,162,0,0,0,0,801.2,744,419,407,132,39,238,724,1.22,0.244
"23
Cincinnati Reds",NL,34,50,5.43,162,162,0,0,0,0,787,849,489,475,146,38,308,764,1.47,0.274
"24
Detroit Tigers",AL,45,57,4.31,162,162,0,0,0,0,786.2,710,408,377,105,22,252,732,1.22,0.238
"25
Kansas City Royals",AL,31,68,5.12,162,162,3,0,0,0,785.2,805,467,447,122,35,251,636,1.34,0.265
"26
Tampa Bay Rays",AL,55,39,3.92,162,162,0,0,0,0,783.2,709,357,341,101,17,207,850,1.17,0.237
"27
Boston Red Sox",AL,48,56,4.68,162,162,0,0,0,0,774.1,757,423,403,130,43,242,787,1.29,0.253
"28
Colorado Rockies",NL,28,70,5.91,162,162,0,0,0,0,767,904,530,504,154,39,273,533,1.53,0.297
"29
Oakland Athletics",AL,20,72,5.74,162,162,0,0,0,0,738,801,498,471,131,52,326,670,1.53,0.276
"30
San Francisco Giants",NL,29,50,4.12,162,162,4,2,0,0,729.1,725,367,334,98,36,171,656,1.23,0.258
