TEAM,LEAGUE,W,L,ERA,G,GS,CG,SHO,SV,SVO,IP,H,R,ER,HR,HB,BB,SO,WHIP,AVG
"1
Atlanta Braves",NL,56,46,3.58,162,162,2,1,0,0,904.1,811,384,360,93,47,277,959,1.2,0.239
"2
Seattle Mariners",AL,59,50,3.38,162,162,1,0,0,0,942.2,785,381,354,122,28,185,889,1.03,0.222
"3
Houston Astros",AL,59,47,3.81,161,161,2,1,0,0,880.2,769,398,373,111,28,326,887,1.24,0.233
"4
Kansas City Royals",AL,60,50,3.55,162,162,2,0,0,0,911,813,383,359,97,45,276,876,1.2,0.237
"5
Minnesota Twins",AL,47,49,4.36,162,162,1,0,0,0,852.1,808,434,413,130,30,220,873,1.21,0.246
"6
New York Yankees",AL,65,48,3.85,162,162,0,0,0,0,871.1,780,394,373,116,47,307,866,1.25,0.238
"7
San Diego Padres",NL,54,50,3.91,162,162,1,1,0,0,867.1,778,407,377,107,41,277,857,1.22,0.238
"8
Philadelphia Phillies",NL,65,43,3.81,162,162,5,4,0,0,903,848,408,382,117,24,250,851,1.22,0.246
"9
Toronto Blue Jays",AL,51,61,3.95,162,162,3,1,0,0,861.2,787,412,378,116,47,275,812,1.23,0.241
"10
Baltimore Orioles",AL,62,49,3.77,162,162,0,0,0,0,881.1,824,408,369,111,25,272,809,1.24,0.244
"11
New York Mets",NL,50,45,3.91,162,162,1,1,0,0,892.2,780,413,388,103,54,335,807,1.25,0.234
"12
Washington Nationals",NL,43,61,4.4,162,162,0,0,0,0,852,854,464,417,103,23,278,791,1.33,0.259
"13
St. Louis Cardinals",NL,52,51,4.33,162,162,0,0,0,0,880.2,847,467,424,115,25,265,789,1.26,0.252
"14
Tampa Bay Rays",AL,38,50,3.82,162,162,0,0,0,0,811,755,372,344,114,30,226,787,1.21,0.243
"15
San Francisco Giants",NL,43,52,4.22,162,162,2,2,0,0,778.2,723,383,365,84,36,293,778,1.3,0.246
"16
Boston Red Sox",AL,47,51,3.81,162,162,1,1,0,0,839.2,747,390,355,109,50,253,771,1.19,0.236
"17
Pittsburgh Pirates",NL,43,53,3.95,162,162,1,0,0,0,855.2,821,410,376,111,36,258,769,1.26,0.252
"18
Los Angeles Dodgers",NL,51,40,4.23,162,162,1,1,0,0,797.2,741,393,375,120,17,268,764,1.26,0.244
"19
Chicago Cubs",NL,46,44,3.77,162,162,1,0,0,0,861,805,402,361,118,21,246,761,1.22,0.244
"20
Cleveland Guardians",AL,50,57,4.4,161,161,0,0,0,0,805,772,416,394,127,28,289,760,1.32,0.25
"21
Arizona Diamondbacks",NL,54,43,4.79,162,162,0,0,0,0,826.1,858,458,440,106,26,247,749,1.34,0.266
"22
Texas Rangers",AL,40,60,4.35,162,162,0,0,0,0,823.2,777,425,398,119,37,251,748,1.25,0.245
"23
Cincinnati Reds",NL,50,48,4.09,162,162,1,0,0,0,825.1,739,398,375,116,61,276,746,1.23,0.236
"24
Milwaukee Brewers",NL,42,41,4.09,162,162,0,0,0,0,794,757,392,361,124,40,272,735,1.3,0.249
"25
Detroit Tigers",AL,40,40,3.69,162,162,1,1,0,0,753,687,333,309,83,24,206,730,1.19,0.241
"26
Chicago White Sox",AL,26,72,4.62,162,162,0,0,0,0,781.1,761,427,401,119,23,305,710,1.36,0.252
"27
Los Angeles Angels",AL,34,76,4.97,162,162,0,0,0,0,834,840,499,461,130,42,329,703,1.4,0.261
"28
Miami Marlins",NL,27,67,5.24,162,162,1,1,0,0,785,842,500,457,137,50,314,662,1.47,0.272
"29
Oakland Athletics",AL,43,67,4.76,162,162,1,1,0,0,839.1,876,476,444,117,47,268,658,1.36,0.268
"30
Colorado Rockies",NL,27,73,5.54,162,162,0,0,0,0,825.2,945,540,508,141,36,290,591,1.5,0.288
